행정구역별(시군구),전체_남녀,미성년_남녀,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
경기도 > 부천시,"71,647",477,"3,012","5,456","6,965","6,776","6,814","7,107","6,914","7,536","5,917","4,372","3,533","3,232","2,206","1,330","36,831",210,"1,437","3,164","4,346","4,227","4,334","4,534","4,244","3,826","2,605","1,619",995,699,360,231,"34,816",267,"1,575","2,292","2,619","2,549","2,480","2,573","2,670","3,710","3,312","2,753","2,538","2,533","1,846","1,099"
경기도 > 광명시,"22,699",59,386,"1,445","2,211","2,092","2,132","2,142","1,937","2,212","2,063","1,753","1,545","1,369",890,463,"10,502",27,185,759,"1,420","1,274","1,289","1,255","1,128","1,015",738,555,368,275,140,74,"12,197",32,201,686,791,818,843,887,809,"1,197","1,325","1,198","1,177","1,094",750,389
경기도 > 평택시,"47,126",252,"1,938","4,858","5,294","4,569","4,474","4,525","4,345","4,407","3,333","2,562","2,331","2,126","1,382",730,"26,745",136,957,"3,274","3,843","3,299","3,121","2,854","2,591","2,408","1,627","1,012",685,499,299,140,"20,381",116,981,"1,584","1,451","1,270","1,353","1,671","1,754","1,999","1,706","1,550","1,646","1,627","1,083",590
경기도 > 동두천시,"10,044",52,285,523,587,599,733,892,"1,005","1,184",970,810,857,846,463,238,"4,936",30,134,334,384,396,477,581,598,629,436,284,263,206,115,69,"5,108",22,151,189,203,203,256,311,407,555,534,526,594,640,348,169
경기도 > 상록구,"40,149",295,"2,511","3,828","4,510","4,225","4,440","4,678","3,938","3,462","2,214","1,621","1,461","1,417",997,552,"23,300",149,"1,223","2,522","3,161","2,922","3,092","3,126","2,539","1,927","1,062",614,412,289,166,96,"16,849",146,"1,288","1,306","1,349","1,303","1,348","1,552","1,399","1,535","1,152","1,007","1,049","1,128",831,456
경기도 > 단원구,"31,721",226,"1,500","3,066","3,533","3,517","3,589","3,581","3,344","2,920","1,968","1,289","1,054","1,017",723,394,"19,150",107,658,"2,002","2,549","2,597","2,616","2,443","2,228","1,682",950,543,350,247,116,62,"12,571",119,842,"1,064",984,920,973,"1,138","1,116","1,238","1,018",746,704,770,607,332
경기도 > 덕양구,"35,743",244,"1,480","2,520","2,969","3,001","3,356","3,681","3,493","3,578","2,873","2,191","2,284","2,028","1,334",711,"18,116",139,867,"1,563","1,977","1,831","1,998","2,253","2,061","1,838","1,254",808,618,487,268,154,"17,627",105,613,957,992,"1,170","1,358","1,428","1,432","1,740","1,619","1,383","1,666","1,541","1,066",557
경기도 > 일산동구,"25,310",106,926,"2,563","3,140","2,966","3,108","2,912","2,331","1,858","1,309",976,990,954,727,444,"11,995",50,354,"1,203","1,734","1,565","1,722","1,646","1,292",925,565,299,256,192,116,76,"13,315",56,572,"1,360","1,406","1,401","1,386","1,266","1,039",933,744,677,734,762,611,368
경기도 > 일산서구,"16,232",77,446,"1,179","1,440","1,341","1,612","1,716","1,526","1,478","1,131",948,945,"1,096",790,507,"7,091",37,161,589,889,805,892,929,773,694,435,273,183,215,120,96,"9,141",40,285,590,551,536,720,787,753,784,696,675,762,881,670,411
경기도 > 과천시,"4,119",25,95,355,462,354,323,325,320,347,338,296,281,255,201,142,"1,850",15,40,206,293,204,214,200,165,146,115,87,59,53,32,21,"2,269",10,55,149,169,150,109,125,155,201,223,209,222,202,169,121
