sigungu,일반,비혈연집단,집단시설집단,외국인,2020,인구감소지수 분류
대구광역시 동구,0.8366706117824876,8.26119880734253e-05,0.00033634880858466015,0.0036231257626487953,142473,안심지역
대구광역시 북구,1.059699376155572,0.00012391798211013795,0.00028324110196602964,0.012539319618287768,181778,안심지역
대구광역시 서구,0.4372357485911853,5.9008562909589494e-05,0.00020652997018356323,0.00584184772804936,75132,인구감소지역
대구광역시 수성구,0.9455473112069712,3.5405137745753704e-05,0.0001888274013106864,0.004171905397707978,160984,안심지역
대구광역시 중구,0.20537930320682624,0.00010621541323726111,0.00011211626952822005,0.0016050329111408344,35114,안심지역
대전광역시 대덕구,0.4334592005649716,0.0001298188384010969,0.00015932311985589166,0.00472068503276716,74306,관심지역
대전광역시 동구,0.6058291136801734,0.0002714393893841117,0.00035995223374849595,0.011064105545548032,104650,관심지역
대전광역시 서구,1.1996204805267907,0.00024193510792931694,0.00035995223374849595,0.008739168166910205,204879,안심지역
대전광역시 유성구,0.9093219544367741,0.00031274538342082435,0.0004012582277852086,0.01544844176973053,156839,안심지역
대전광역시 중구,0.576436948494907,0.00018292654501972743,0.0002950428145479475,0.0034106949361742732,98346,관심지역
부산광역시 강서구,0.303162392804307,4.130599403671265e-05,0.0002242325390564401,0.007765526878901978,52737,안심지역
부산광역시 금정구,0.600718972132203,0.00025373682051123487,0.0002950428145479475,0.00971871031120939,103542,관심지역
부산광역시 기장군,0.3929026152772107,2.9504281454794747e-05,0.00023603425163835798,0.0033044795229370118,67189,안심지역
부산광역시 남구,0.6526642100615146,0.0002006291138926043,0.00017112483243780953,0.011211626952822004,112568,안심지역
부산광역시 동구,0.23471245982918318,9.44137006553432e-05,7.671113178246635e-05,0.004106995978507429,40501,인구감소지역
부산광역시 동래구,0.6255674779734312,7.671113178246635e-05,0.0001534222635649327,0.002307234809764949,106443,안심지역
부산광역시 부산진구,0.9270540275911059,0.00021833168276548116,0.00021833168276548116,0.005133744973134287,158049,안심지역
부산광역시 북구,0.6675107644895674,4.130599403671265e-05,0.0001888274013106864,0.0033457855169737247,113727,안심지역
부산광역시 사상구,0.5350778467515757,0.00012391798211013795,0.00021243082647452223,0.00847953049010801,92172,안심지역
부산광역시 사하구,0.7573985083697451,8.26119880734253e-05,0.00031274538342082435,0.007913048286175952,129762,안심지역
부산광역시 서구,0.278880369167011,8.851284436438425e-05,0.00019472825760164536,0.0030684452712986536,47829,인구감소지역
부산광역시 수영구,0.45259567751655144,5.9008562909589494e-05,0.0001298188384010969,0.003363488085846601,77302,안심지역
부산광역시 연제구,0.5056974832788911,6.490941920054844e-05,0.00014752140727397375,0.0018174637376153564,86043,안심지역
부산광역시 영도구,0.3000113355449349,0.00014162055098301482,0.00011801712581917899,0.0023013339534739903,51276,인구감소지역
부산광역시 중구,0.12101476081498613,5.3107706618630557e-05,8.26119880734253e-05,0.003363488085846601,21101,관심지역
부산광역시 해운대구,0.9359525188778719,5.9008562909589494e-05,0.00021833168276548116,0.007972056849085541,160011,안심지역
울산광역시 남구,0.7698788194251233,0.0001888274013106864,0.0002242325390564401,0.014020434547318465,132915,안심지역
울산광역시 동구,0.3604302031080636,0.00012659710651810206,0.00011801712581917899,0.00814908253781431,62485,안심지역
울산광역시 북구,0.4674245293757313,4.130599403671265e-05,0.00011801712581917899,0.004856404727459216,80063,안심지역
울산광역시 울주군,0.5124067568817113,0.00010031455694630215,0.00040715908407616756,0.018239546795354115,90013,안심지역
울산광역시 중구,0.5103532588924576,2.9504281454794747e-05,0.00014162055098301482,0.005912658003540868,87519,안심지역
인천광역시 강화군,0.16420312800851472,0.00010031455694630215,0.0003068445271298654,0.0014693132164487785,28145,인구감소지역
인천광역시 계양구,0.6705261020542473,7.671113178246635e-05,0.0003186462397117833,0.007511790058390744,114972,안심지역
인천광역시 남동구,1.2239615127269965,0.00014752140727397375,0.0005369779224772645,0.026205702788148693,211978,안심지역
인천광역시 동구,0.14890220764605813,0.00012659710651810206,6.490941920054844e-05,0.002106605695872345,25606,관심지역
인천광역시 미추홀구,0.9967018343932944,0.0005369779224772645,0.000354051377457537,0.023975179110166216,173122,안심지역
인천광역시 부평구,1.1445477887632707,0.00021833168276548116,0.00041305994036712647,0.04413840505637295,201550,안심지역
인천광역시 서구,1.185210589464269,0.00018292654501972743,0.0004602667906947981,0.028489334172749813,205791,안심지역
인천광역시 연수구,0.8327111372112542,0.0001888274013106864,0.00019472825760164536,0.03663841671056412,147391,안심지역
인천광역시 옹진군,0.051632492545890814,0.00012659710651810206,0.0002654050295571582,0.0006490941920054844,8867,인구감소지역
인천광역시 중구,0.35106554417431174,0.00013571969469205585,0.00019472825760164536,0.009394163215206648,61142,안심지역
전라남도 강진군,0.08998805843712399,0.00012659710651810206,0.00011801712581917899,0.0007435078926608277,15398,인구감소지역
전라남도 고흥군,0.1741932777091082,3.5405137745753704e-05,0.00013571969469205585,0.0017879594561605616,29852,인구감소지역
전라남도 곡성군,0.0748759654759781,4.72068503276716e-05,9.44137006553432e-05,0.000708102754915074,12833,인구감소지역
전라남도 광양시,0.3407862525154613,6.490941920054844e-05,0.0002006291138926043,0.0031156521216263258,58325,안심지역
전라남도 구례군,0.06496252690716708,0.00012659710651810206,7.081027549150741e-05,0.0003894565152032907,11089,인구감소지역
전라남도 나주시,0.2861738275426362,0.0001298188384010969,0.0003186462397117833,0.004077491697052634,49264,안심지역
전라남도 담양군,0.1064160423511537,0.00012659710651810206,0.0001888274013106864,0.0015578260608131629,18333,인구감소지역
전라남도 목포시,0.5569877261599063,0.00018292654501972743,0.0003068445271298654,0.006007071704196211,95492,안심지역
전라남도 무안군,0.21023570793428548,0.00011801712581917899,0.00021833168276548116,0.0024134502230022106,36094,안심지역
전라남도 보성군,0.10540109506910877,4.130599403671265e-05,0.00011801712581917899,0.0005369779224772645,17980,인구감소지역
전라남도 순천시,0.6497550879100719,5.3107706618630557e-05,0.000354051377457537,0.003847358301705236,110833,안심지역
전라남도 신안군,0.09879213602323474,7.081027549150741e-05,0.0001298188384010969,0.001304089240301928,16997,인구감소지역
전라남도 여수시,0.6632385445349132,0.00015932311985589166,0.0004012582277852086,0.007600302902755127,113780,안심지역
